年   龄   别	2000年 人  口  数       			占总人口数的百分比			性别比
	合计	男	女	小计	男	女	
							
27岁	23630435	12123051	11507384	1.9	0.98	0.93	105.35
28岁	24800391	12734628	12065763	2	1.02	0.97	105.54
29岁	25160381	12931772	12228609	2.02	1.04	0.98	105.75
							
30-34岁	127314298	65360456	61953842	10.25	5.26	4.99	105.5
30岁	28012344	14396367	13615977	2.25	1.16	1.1	105.73
31岁	25018386	12817157	12201229	2.01	1.03	0.98	105.05
32岁	27718516	14262160	13456356	2.23	1.15	1.08	105.99
33岁	21736582	11133712	10602870	1.75	0.9	0.85	105.01
34岁	24828470	12751060	12077410	2	1.03	0.97	105.58
							
35-39岁	109147295	56141391	53005904	8.78	4.52	4.27	105.92
35岁	24799129	12794614	12004515	2	1.03	0.97	106.58
36岁	24144848	12375386	11769462	1.94	1	0.95	105.15
37岁	27866189	14366461	13499728	2.24	1.16	1.09	106.42
38岁	20923112	10799386	10123726	1.68	0.87	0.81	106.67
39岁	11414017	5805544	5608473	0.92	0.47	0.45	103.51
							
40-44岁	81242945	42243187	38999758	6.54	3.4	3.14	108.32
40岁	14684726	7608987	7075739	1.18	0.61	0.57	107.54
41岁	13059787	6819876	6239911	1.05	0.55	0.5	109.29
42岁	17135981	8985776	8150205	1.38	0.72	0.66	110.25
43岁	18998424	9889275	9109149	1.53	0.8	0.73	108.56
44岁	17364027	8939273	8424754	1.4	0.72	0.68	106.11
							
45-49岁	85521045	43939603	41581442	6.88	3.54	3.35	105.67
45岁	18612172	9650322	8961850	1.5	0.78	0.72	107.68
46岁	18513434	9524972	8988462	1.49	0.77	0.72	105.97
47岁	16745695	8575888	8169807	1.35	0.69	0.66	104.97
48岁	17236621	8849449	8387172	1.39	0.71	0.67	105.51
49岁	14413123	7338972	7074151	1.16	0.59	0.57	103.74
							
50-54岁	63304200	32804125	30500075	5.09	2.64	2.45	107.55
50岁	14711260	7572176	7139084	1.18	0.61	0.57	106.07
51岁	13913927	7269012	6644915	1.12	0.58	0.53	109.39
52岁	12083027	6256655	5826372	0.97	0.5	0.47	107.39
53岁	11737540	6105349	5632191	0.94	0.49	0.45	108.4
54岁	10858446	5600933	5257513	0.87	0.45	0.42	106.53
							
55-59岁	46370375	24061506	22308869	3.73	1.94	1.8	107.86
55岁	10045173	5184602	4860571	0.81	0.42	0.39	106.67
56岁	9708711	5059575	4649136	0.78	0.41	0.37	108.83
57岁	8821540	4567728	4253812	0.71	0.37	0.34	107.38
58岁	8869780	4602955	4266825	0.71	0.37	0.34	107.88
59岁	8925171	4646646	4278525	0.72	0.37	0.34	108.6
							
60-64岁	41703848	21674478	20029370	3.36	1.74	1.61	108.21
60岁	9141141	4769323	4371818	0.74	0.38	0.35	109.09
61岁	7574442	3921897	3652545	0.61	0.32	0.29	107.37
62岁	8611865	4511488	4100377	0.69	0.36	0.33	110.03
63岁	8128275	4229884	3898391	0.65	0.34	0.31	108.5
64岁	8248125	4241886	4006239	0.66	0.34	0.32	105.88
							
65-69岁	34780460	17549348	17231112	2.8	1.41	1.39	101.85
65岁	7808592	3942771	3865821	0.63	0.32	0.31	101.99
66岁	7220066	3645264	3574802	0.58	0.29	0.29	101.97
67岁	7456399	3802499	3653900	0.6	0.31	0.29	104.07
68岁	6503311	3250263	3253048	0.52	0.26	0.26	99.91
69岁	5792092	2908551	2883541	0.47	0.23	0.23	100.87
							
70-74岁	25574149	12436154	13137995	2.06	1	1.06	94.66
70岁	6499332	3221942	3277390	0.52	0.26	0.26	98.31
71岁	5045743	2469891	2575852	0.41	0.2	0.21	95.89
72岁	5359819	2608469	2751350	0.43	0.21	0.22	94.81
73岁	4606896	2217591	2389305	0.37	0.18	0.19	92.81
74岁	4062359	1918261	2144098	0.33	0.15	0.17	89.47
							
75-79岁	15928330	7175811	8752519	1.28	0.58	0.7	81.99
75岁	4057266	1886692	2170574	0.33	0.15	0.17	86.92
76岁	3575411	1627531	1947880	0.29	0.13	0.16	83.55
77岁	3025726	1354234	1671492	0.24	0.11	0.13	81.02
78岁	2838736	1254407	1584329	0.23	0.1	0.13	79.18
79岁	2431191	1052947	1378244	0.2	0.08	0.11	76.4
							
80-84岁	7989158	3203868	4785290	0.64	0.26	0.39	66.95
80岁	2310212	958077	1352135	0.19	0.08	0.11	70.86
81岁	1740870	715350	1025520	0.14	0.06	0.08	69.75
82岁	1546079	612890	933189	0.12	0.05	0.08	65.68
83岁	1304628	507775	796853	0.1	0.04	0.06	63.72
84岁	1087369	409776	677593	0.09	0.03	0.05	60.48
							
85-89岁	3030698	1056941	1973757	0.24	0.09	0.16	53.55
85岁	898283	325809	572474	0.07	0.03	0.05	56.91
86岁	772037	275077	496960	0.06	0.02	0.04	55.35
87岁	583159	200168	382991	0.05	0.02	0.03	52.26
88岁	441245	147017	294228	0.04	0.01	0.02	49.97
89岁	335974	108870	227104	0.03	0.01	0.02	47.94
							
90-94岁	783594	229758	553836	0.06	0.02	0.04	41.48
90岁	285875	88128	197747	0.02	0.01	0.02	44.57
91岁	181689	53460	128229	0.01		0.01	41.69
92岁	140092	40460	99632	0.01		0.01	40.61
93岁	100237	27802	72435	0.01		0.01	38.38
94岁	75701	19908	55793	0.01			35.68
							
95-99岁	169756	51373	118383	0.01		0.01	43.4
95岁	58097	16617	41480				40.06
96岁	42063	12543	29520				42.49
97岁	31168	10068	21100				47.72
98岁	23294	7599	15695				48.42
99岁	15134	4546	10588				42.94
							
100岁及以上	17877	4635	13242				35
